id,dataset_config,qid,query_column,query,q1,q2,question_type,positive_passage_id,negative_passage_id,positive_answer,negative_answer,positive_corpus_index,negative_corpus_index,doc1,doc2,answer_doc,trap_doc,answer_text,trap_text
boolq_MSMARCO_57,MSMARCO,57,q1,What are common uses of polyaminopropyl biguanide excluding illicit PCP characteristics and forms?,What are common uses of polyaminopropyl biguanide excluding illicit PCP characteristics and forms?,,not,5865422,2776200,"Common uses of polyaminopropyl biguanide include serving as a disinfectant and preservative for skin disinfection, in cleaning solutions for contact lenses, and as an ingredient in deodorant bodysprays.",Cannot answer,20,21,Polyaminopropyl biguanide (PAPB) is a disinfectant and a preservative used for disinfection on skin and in cleaning solutions for contact lenses. It is also an ingredient in many deodorant bodysprays.olyaminopropyl biguanide (PAPB) is a disinfectant and a preservative used for disinfection on skin and in cleaning solutions for contact lenses. It is also an ingredient in many deodorant bodysprays.,"In its pure form, PCP is a white crystalline powder that readily dissolves in water or alcohol and has a distinctive bitter chemical taste. On the illicit drug market, this substance contains a number of contaminants causing the color to range from a light to darker brown with a powdery to a gummy mass consistency.or smoking, PCP is typically sprayed onto leafy material such as mint, parsley, oregano, or marijuana. PCP may also be injected. Soon after PCP was introduced as a street drug in the 1960s, it gained a reputation of causing bad reactions and never became very popular with illicit pcp drug users.",doc1,doc2,Polyaminopropyl biguanide (PAPB) is a disinfectant and a preservative used for disinfection on skin and in cleaning solutions for contact lenses. It is also an ingredient in many deodorant bodysprays.olyaminopropyl biguanide (PAPB) is a disinfectant and a preservative used for disinfection on skin and in cleaning solutions for contact lenses. It is also an ingredient in many deodorant bodysprays.,"In its pure form, PCP is a white crystalline powder that readily dissolves in water or alcohol and has a distinctive bitter chemical taste. On the illicit drug market, this substance contains a number of contaminants causing the color to range from a light to darker brown with a powdery to a gummy mass consistency.or smoking, PCP is typically sprayed onto leafy material such as mint, parsley, oregano, or marijuana. PCP may also be injected. Soon after PCP was introduced as a street drug in the 1960s, it gained a reputation of causing bad reactions and never became very popular with illicit pcp drug users."
boolq_MSMARCO_60,MSMARCO,60,q1,Which documents are needed for renewing a Texas ID or vehicle registration in California but not for finding a Registration ID or vehicle verification requirements in California?,Which documents are needed for renewing a Texas ID or vehicle registration in California but not for finding a Registration ID or vehicle verification requirements in California?,,not,2056583,1807450,Cannot answer.,Cannot answer,22,23,"Renew Your Texas ID Card. You may be eligible to renew your Texas ID online, by phone, by mail, or in person. If your Texas ID card expired more than 2 years ago, you must apply as a new applicant and meet all the requirements for a new ID card.here are no age restrictions to apply for an ID card in Texas. If you have been a Texas resident for at least 30 days, you may apply for a Texas ID card. You will need to be able to prove your: 1  Identity.","Registration ID Cards. The Registration ID card is located on the Vehicle Registration Renewal Notice you receive in the mail. It contains your personal vehicle information that is documented with the Secretary of State's office, your mailing address and the State Seal.",doc1,doc2,"Renew Your Texas ID Card. You may be eligible to renew your Texas ID online, by phone, by mail, or in person. If your Texas ID card expired more than 2 years ago, you must apply as a new applicant and meet all the requirements for a new ID card.here are no age restrictions to apply for an ID card in Texas. If you have been a Texas resident for at least 30 days, you may apply for a Texas ID card. You will need to be able to prove your: 1  Identity.","Registration ID Cards. The Registration ID card is located on the Vehicle Registration Renewal Notice you receive in the mail. It contains your personal vehicle information that is documented with the Secretary of State's office, your mailing address and the State Seal."
boolq_MSMARCO_67,MSMARCO,67,q1,"What is the name for the highest payout of a surety bond, excluding explanations of its function or the parties involved?","What is the name for the highest payout of a surety bond, excluding explanations of its function or the parties involved?",,not,7689522,2495863,The name for the highest payout of a surety bond is the penal sum.,Cannot answer,24,25,A key term in nearly every surety bond is the penal sum. This is a specified amount of money which is the maximum amount that the surety will be required to pay in the event of the principal's default.,Definition: surâ¢eâ¢ty bond. A surety bond is a contractual agreement between a project owner or business guaranteeing that the project will be completed or business regulations will be followed. or Request your FREE Surety Bond Quote online now.,doc1,doc2,A key term in nearly every surety bond is the penal sum. This is a specified amount of money which is the maximum amount that the surety will be required to pay in the event of the principal's default.,Definition: surâ¢eâ¢ty bond. A surety bond is a contractual agreement between a project owner or business guaranteeing that the project will be completed or business regulations will be followed. or Request your FREE Surety Bond Quote online now.
boolq_MSMARCO_71,MSMARCO,71,q1,What are the benefits of using low-e glass or amber-tinted lenses but not Solarban70XLglass introduced by PPG Performance Glazings in November 2005?,What are the benefits of using low-e glass or amber-tinted lenses but not Solarban70XLglass introduced by PPG Performance Glazings in November 2005?,,not,7426173,3920301,Benefits of using amber-tinted lenses include blocking blue light to heighten contrast and providing a brighter view on cloudy days.,Cannot answer,26,27,"Amber Lenses With good reason, amber-tinted lenses are one of the most popular sunglass choices. Recommended for most outdoor activities (fishing, golfing, cycling, and driving â to name a few), amber lenses block blue light to heighten contrast and provide you with a brighter view on cloudy days.","A Comparison of Energy, Economic and Environmental. Benefits of Transparent. Low-E Glasses. In November 2005, PPG Performance Glazings. introduced Solarban70XLglass, a transparent, coated, solar control, low-emmissivity (low-. e) architectural glass with superior solar con-.",doc1,doc2,"Amber Lenses With good reason, amber-tinted lenses are one of the most popular sunglass choices. Recommended for most outdoor activities (fishing, golfing, cycling, and driving â to name a few), amber lenses block blue light to heighten contrast and provide you with a brighter view on cloudy days.","A Comparison of Energy, Economic and Environmental. Benefits of Transparent. Low-E Glasses. In November 2005, PPG Performance Glazings. introduced Solarban70XLglass, a transparent, coated, solar control, low-emmissivity (low-. e) architectural glass with superior solar con-."
boolq_MSMARCO_75,MSMARCO,75,q1,What factors increase cardiovascular disease risk excluding APOE e4 allele carriers and INVOKANA® causing ketoacidosis in diabetes patients?,What factors increase cardiovascular disease risk excluding APOE e4 allele carriers and INVOKANA® causing ketoacidosis in diabetes patients?,,not,1850035,8468724,"Factors that increase cardiovascular disease risk include insulin resistance and impaired glucose tolerance (IGT). Additionally, higher fasting glucose levels correspond to a higher risk for complications that can increase cardiovascular disease risk.",Cannot answer,28,29,"This pre-diabetic state is associated with insulin resistance and increased risk of cardiovascular pathology, although of lesser risk than impaired glucose tolerance (IGT). IFG can progress to type 2 diabetes mellitus if lifestyle changes are not made. There is a 50% risk over 10 years of progressing to overt diabetes.asting blood glucose levels are in a continuum within a given population, with higher fasting glucose levels corresponding to a higher risk for complications caused by the high glucose levels.","Variants of apolipoprotein E have been studied extensively as risk factors for many different conditions. For example, APOE alleles have been shown to influence the risk of cardiovascular diseases. People who carry at least one copy of the APOE e4 allele have an increased chance of developing atherosclerosis, which is an accumulation of fatty deposits and scar-like tissue in the lining of the arteries.",doc1,doc2,"This pre-diabetic state is associated with insulin resistance and increased risk of cardiovascular pathology, although of lesser risk than impaired glucose tolerance (IGT). IFG can progress to type 2 diabetes mellitus if lifestyle changes are not made. There is a 50% risk over 10 years of progressing to overt diabetes.asting blood glucose levels are in a continuum within a given population, with higher fasting glucose levels corresponding to a higher risk for complications caused by the high glucose levels.","Variants of apolipoprotein E have been studied extensively as risk factors for many different conditions. For example, APOE alleles have been shown to influence the risk of cardiovascular diseases. People who carry at least one copy of the APOE e4 allele have an increased chance of developing atherosclerosis, which is an accumulation of fatty deposits and scar-like tissue in the lining of the arteries."
boolq_MSMARCO_77,MSMARCO,77,q1,Are there wound care products for heavy drainage that don't involve Kittner dissectors with x-ray detectable elements?,Are there wound care products for heavy drainage that don't involve Kittner dissectors with x-ray detectable elements?,,not,6857662,1452897,Yes.,Cannot answer,30,31,"Caring ABD Combine Pads from HealthyKin.com are made to handle heavy drainage, while keeping the wound dry. Their design diffuses liquid throughout the pad. The pads are constructed of highly absorbent cellulose. Multiple dressings with these pads may be used for additional protection against strike through. Caring ABD Combine Pads Features:","Kittner (Blunt) Dissector. 1  Can be used as a longitudinal or folded sponge for dissection. 2  Constructed of high quality cotton twill. 3  Complete with the exclusive x-ray detectable radiopaque element.  Count holder, per pack, enables easy sponge 1  count. Sterile.  Not made with natural rubber latex.",doc1,doc2,"Caring ABD Combine Pads from HealthyKin.com are made to handle heavy drainage, while keeping the wound dry. Their design diffuses liquid throughout the pad. The pads are constructed of highly absorbent cellulose. Multiple dressings with these pads may be used for additional protection against strike through. Caring ABD Combine Pads Features:","Kittner (Blunt) Dissector. 1  Can be used as a longitudinal or folded sponge for dissection. 2  Constructed of high quality cotton twill. 3  Complete with the exclusive x-ray detectable radiopaque element.  Count holder, per pack, enables easy sponge 1  count. Sterile.  Not made with natural rubber latex."
boolq_MSMARCO_80,MSMARCO,80,q1,What conditions commonly occur with anxiety disorders without focusing on areas with higher rates of depression and anxiety?,What conditions commonly occur with anxiety disorders without focusing on areas with higher rates of depression and anxiety?,,not,179846,2093993,"Mood changes, triggered by drops and fluctuations in blood sugar, can occur with anxiety disorders.",Cannot answer,32,33,"For people who are predisposed to anxiety and depression, that stress manifests itself as mood changes. âTriggered by drops and fluctuations in blood sugar,â writes Bongiorno, âanxiety and depression can manifest in people who are very sensitive and can become chronic if food intake isnât consistent.","April 20, 2017 | 106,530 Views. People who live in these areas are more likely to suffer from depression and anxiety. If you do, here's what to seek out and even what to create in your...",doc1,doc2,"For people who are predisposed to anxiety and depression, that stress manifests itself as mood changes. âTriggered by drops and fluctuations in blood sugar,â writes Bongiorno, âanxiety and depression can manifest in people who are very sensitive and can become chronic if food intake isnât consistent.","April 20, 2017 | 106,530 Views. People who live in these areas are more likely to suffer from depression and anxiety. If you do, here's what to seek out and even what to create in your..."
boolq_MSMARCO_85,MSMARCO,85,q1,How can nonprofit organizations handle and disclose restricted funds in accounts excluding the reasons for temporary asset use restrictions by donors?,How can nonprofit organizations handle and disclose restricted funds in accounts excluding the reasons for temporary asset use restrictions by donors?,,not,8642190,8267128,Cannot answer.,Cannot answer,34,35,"In the annual accounts restricted and endowment funds must be reported separately from unrestricted funds. As a minimum all funds of one type should be reported together, either as three separate columns or, in the case of accounts on the R&P basis, as three separate statements of account.","Some assets are required by donors or the organization's decree to be temporarily restricted for a period of time or use. The restrictions set forth in this instance can be for a variety of reasons, most often requiring that the assets be used before a certain time period or after a certain time period.",doc1,doc2,"In the annual accounts restricted and endowment funds must be reported separately from unrestricted funds. As a minimum all funds of one type should be reported together, either as three separate columns or, in the case of accounts on the R&P basis, as three separate statements of account.","Some assets are required by donors or the organization's decree to be temporarily restricted for a period of time or use. The restrictions set forth in this instance can be for a variety of reasons, most often requiring that the assets be used before a certain time period or after a certain time period."
boolq_MSMARCO_87,MSMARCO,87,q1,What product makes bedrooms look better and is easy to assemble without tools but doesn't relate to clean units attracting repeat guests for three years?,What product makes bedrooms look better and is easy to assemble without tools but doesn't relate to clean units attracting repeat guests for three years?,,not,7185372,6440354,Nectar foundation,Cannot answer,36,37,"If you are looking for a new foundation for your Nectar mattress or any mattress for that mattress, check out the Nectar foundation. It is incredibly easy to assemble, no tools required. Best of all it will look great in your bedroom. No need for a dust ruffle to cover the ugliness that traditional box [â¦]","We have been coming for the last three years, and wouldn't want to go anywhere else! The units are really nice and super clean. Great family â¦ moreWell deserving of all the great reviews! We agree totally!!!! We have been coming for the last three years, and wouldn't want to go anywhere else! The units are really nice and super clean. Great family â¦ moreWell deserving of all the great reviews! We agree totally!!!! We have been coming for the last three years, and wouldn't want to go anywhere else! The units are really nice and ...",doc1,doc2,"If you are looking for a new foundation for your Nectar mattress or any mattress for that mattress, check out the Nectar foundation. It is incredibly easy to assemble, no tools required. Best of all it will look great in your bedroom. No need for a dust ruffle to cover the ugliness that traditional box [â¦]","We have been coming for the last three years, and wouldn't want to go anywhere else! The units are really nice and super clean. Great family â¦ moreWell deserving of all the great reviews! We agree totally!!!! We have been coming for the last three years, and wouldn't want to go anywhere else! The units are really nice and super clean. Great family â¦ moreWell deserving of all the great reviews! We agree totally!!!! We have been coming for the last three years, and wouldn't want to go anywhere else! The units are really nice and ..."
boolq_MSMARCO_96,MSMARCO,96,q1,"What's the price of a Nutrisystem basic plan, TGI Fridays' endless appetizers, or average Tim Hortons ticket, excluding Nutrisystem's monthly auto-delivery cost and daily transactions needed by Tim Hortons for $1 million sales?","What's the price of a Nutrisystem basic plan, TGI Fridays' endless appetizers, or average Tim Hortons ticket, excluding Nutrisystem's monthly auto-delivery cost and daily transactions needed by Tim Hortons for $1 million sales?",,not,8315263,5060135,TGI Fridays' endless appetizers deal costs $10 per person.,Cannot answer,38,39,"TGI Fridaysâ endless appetizers deal is now offering unlimited appetizers for only $10 per person, but we have spent the time to analyze whether or not it is a good choice.In a related report by The Inquisitr, if youâre interested in the TGI Fridaysâ endless appetizers deal then you probably are not dieting.GI Fridaysâ endless appetizers deal is now offering unlimited appetizers for only $10 per person, but we have spent the time to analyze whether or not it is a good choice.",monthly nutrisystem price the monthly cost of a basic regular 28 day diet plan for a man or woman from nutrisystem is currently set at $ 239 99 when you select auto delivery this is the lowest cost plan and breaks down to a crazy low daily price of just $ 8 57,doc1,doc2,"TGI Fridaysâ endless appetizers deal is now offering unlimited appetizers for only $10 per person, but we have spent the time to analyze whether or not it is a good choice.In a related report by The Inquisitr, if youâre interested in the TGI Fridaysâ endless appetizers deal then you probably are not dieting.GI Fridaysâ endless appetizers deal is now offering unlimited appetizers for only $10 per person, but we have spent the time to analyze whether or not it is a good choice.",monthly nutrisystem price the monthly cost of a basic regular 28 day diet plan for a man or woman from nutrisystem is currently set at $ 239 99 when you select auto delivery this is the lowest cost plan and breaks down to a crazy low daily price of just $ 8 57
