model,condition,candidate_top_n,weight_name,weight,beta,beta_over_weight,avg_recall,avg_violation,avg_recall_delta_vs_baseline,avg_violation_drop_vs_baseline,min_recall_delta_vs_baseline_all_k,min_violation_drop_vs_baseline_all_k,strict_recall_kept_all_k,avg_recall_kept,violation_lower_all_k,violation_lower_avg,method,source_csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.25,1,4,0.79075,0.06875,-0.15525,0.8135,-0.277,0.775,False,False,True,True,score_anti_rrf_no_target_c10_a0.25_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.5,0.1,0.2,0.94675,0.814,0.00075,0.06825,-0.001,0.045,False,True,True,True,score_anti_rrf_no_target_c10_a0.5_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.5,0.2,0.4,0.94575,0.7215,-0.00025,0.16075,-0.003,0.096,False,False,True,True,score_anti_rrf_no_target_c10_a0.5_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.5,0.3,0.6,0.94475,0.619,-0.00125,0.26325,-0.003,0.171,False,False,True,True,score_anti_rrf_no_target_c10_a0.5_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.5,0.5,1,0.93175,0.37425,-0.01425,0.508,-0.026,0.326,False,False,True,True,score_anti_rrf_no_target_c10_a0.5_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.5,0.75,1.5,0.89975,0.14225,-0.04625,0.74,-0.067,0.585,False,False,True,True,score_anti_rrf_no_target_c10_a0.5_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.5,1,2,0.87125,0.09525,-0.07475,0.787,-0.121,0.705,False,False,True,True,score_anti_rrf_no_target_c10_a0.5_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.75,0.1,0.133333,0.947,0.84025,0.001,0.042,0,0.032,True,True,True,True,score_anti_rrf_no_target_c10_a0.75_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.75,0.2,0.266667,0.94625,0.7865,0.00025,0.09575,-0.002,0.061,False,True,True,True,score_anti_rrf_no_target_c10_a0.75_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.75,0.3,0.4,0.94575,0.7215,-0.00025,0.16075,-0.003,0.096,False,False,True,True,score_anti_rrf_no_target_c10_a0.75_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.75,0.5,0.666667,0.944,0.58275,-0.002,0.2995,-0.006,0.189,False,False,True,True,score_anti_rrf_no_target_c10_a0.75_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.75,0.75,1,0.93175,0.37425,-0.01425,0.508,-0.026,0.326,False,False,True,True,score_anti_rrf_no_target_c10_a0.75_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.75,1,1.33333,0.909,0.18325,-0.037,0.699,-0.052,0.509,False,False,True,True,score_anti_rrf_no_target_c10_a0.75_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,1,0.1,0.1,0.94675,0.8505,0.00075,0.03175,0,0.023,True,True,True,True,score_anti_rrf_no_target_c10_a1_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,1,0.2,0.2,0.94675,0.814,0.00075,0.06825,-0.001,0.045,False,True,True,True,score_anti_rrf_no_target_c10_a1_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,1,0.3,0.3,0.94675,0.7735,0.00075,0.10875,-0.001,0.067,False,True,True,True,score_anti_rrf_no_target_c10_a1_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,1,0.5,0.5,0.94475,0.66675,-0.00125,0.2155,-0.003,0.14,False,False,True,True,score_anti_rrf_no_target_c10_a1_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,1,0.75,0.75,0.9425,0.5355,-0.0035,0.34675,-0.007,0.219,False,False,True,True,score_anti_rrf_no_target_c10_a1_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,1,1,1,0.93175,0.37425,-0.01425,0.508,-0.026,0.326,False,False,True,True,score_anti_rrf_no_target_c10_a1_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,1.5,0.1,0.0666667,0.94675,0.86025,0.00075,0.022,0,0.016,True,True,True,True,score_anti_rrf_no_target_c10_a1.5_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,1.5,0.2,0.133333,0.947,0.84025,0.001,0.042,0,0.032,True,True,True,True,score_anti_rrf_no_target_c10_a1.5_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,1.5,0.3,0.2,0.94675,0.814,0.00075,0.06825,-0.001,0.045,False,True,True,True,score_anti_rrf_no_target_c10_a1.5_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,1.5,0.5,0.333333,0.94625,0.755,0.00025,0.12725,-0.002,0.076,False,True,True,True,score_anti_rrf_no_target_c10_a1.5_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,1.5,0.75,0.5,0.94475,0.66675,-0.00125,0.2155,-0.003,0.14,False,False,True,True,score_anti_rrf_no_target_c10_a1.5_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,1.5,1,0.666667,0.944,0.58275,-0.002,0.2995,-0.006,0.189,False,False,True,True,score_anti_rrf_no_target_c10_a1.5_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,2,0.1,0.05,0.9465,0.8655,0.0005,0.01675,0,0.011,True,True,True,True,score_anti_rrf_no_target_c10_a2_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,2,0.2,0.1,0.94675,0.8505,0.00075,0.03175,0,0.023,True,True,True,True,score_anti_rrf_no_target_c10_a2_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,2,0.3,0.15,0.94675,0.833,0.00075,0.04925,-0.001,0.036,False,True,True,True,score_anti_rrf_no_target_c10_a2_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,2,0.5,0.25,0.9465,0.79325,0.0005,0.089,-0.001,0.059,False,True,True,True,score_anti_rrf_no_target_c10_a2_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,2,0.75,0.375,0.9455,0.7335,-0.0005,0.14875,-0.003,0.089,False,False,True,True,score_anti_rrf_no_target_c10_a2_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,2,1,0.5,0.94475,0.66675,-0.00125,0.2155,-0.003,0.14,False,False,True,True,score_anti_rrf_no_target_c10_a2_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0,0.1,,0.29925,0.01775,-0.64675,0.8645,-0.759,0.823,False,False,True,True,score_anti_rrf_no_target_c20_a0_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0,0.2,,0.29925,0.01775,-0.64675,0.8645,-0.759,0.823,False,False,True,True,score_anti_rrf_no_target_c20_a0_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0,0.3,,0.29925,0.01775,-0.64675,0.8645,-0.759,0.823,False,False,True,True,score_anti_rrf_no_target_c20_a0_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0,0.5,,0.29925,0.01775,-0.64675,0.8645,-0.759,0.823,False,False,True,True,score_anti_rrf_no_target_c20_a0_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0,0.75,,0.29925,0.01775,-0.64675,0.8645,-0.759,0.823,False,False,True,True,score_anti_rrf_no_target_c20_a0_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0,1,,0.29925,0.01775,-0.64675,0.8645,-0.759,0.823,False,False,True,True,score_anti_rrf_no_target_c20_a0_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.25,0.1,0.4,0.94475,0.68775,-0.00125,0.1945,-0.003,0.167,False,False,True,True,score_anti_rrf_no_target_c20_a0.25_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.25,0.2,0.8,0.93625,0.41525,-0.00975,0.467,-0.013,0.413,False,False,True,True,score_anti_rrf_no_target_c20_a0.25_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.25,0.3,1.2,0.90175,0.088,-0.04425,0.79425,-0.048,0.774,False,False,True,True,score_anti_rrf_no_target_c20_a0.25_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.25,0.5,2,0.82775,0.04425,-0.11825,0.838,-0.149,0.803,False,False,True,True,score_anti_rrf_no_target_c20_a0.25_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.25,0.75,3,0.73625,0.0335,-0.20975,0.84875,-0.275,0.816,False,False,True,True,score_anti_rrf_no_target_c20_a0.25_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.25,1,4,0.6565,0.02925,-0.2895,0.853,-0.38,0.819,False,False,True,True,score_anti_rrf_no_target_c20_a0.25_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.5,0.1,0.2,0.9465,0.809,0.0005,0.07325,-0.001,0.051,False,True,True,True,score_anti_rrf_no_target_c20_a0.5_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.5,0.2,0.4,0.94475,0.68775,-0.00125,0.1945,-0.003,0.167,False,False,True,True,score_anti_rrf_no_target_c20_a0.5_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.5,0.3,0.6,0.9415,0.5675,-0.0045,0.31475,-0.007,0.27,False,False,True,True,score_anti_rrf_no_target_c20_a0.5_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.5,0.5,1,0.92375,0.23,-0.02225,0.65225,-0.026,0.555,False,False,True,True,score_anti_rrf_no_target_c20_a0.5_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.5,0.75,1.5,0.87325,0.05425,-0.07275,0.828,-0.085,0.796,False,False,True,True,score_anti_rrf_no_target_c20_a0.5_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.5,1,2,0.82775,0.04425,-0.11825,0.838,-0.149,0.803,False,False,True,True,score_anti_rrf_no_target_c20_a0.5_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.75,0.1,0.133333,0.94625,0.836,0.00025,0.04625,-0.001,0.035,False,True,True,True,score_anti_rrf_no_target_c20_a0.75_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.75,0.2,0.266667,0.94625,0.7745,0.00025,0.10775,-0.001,0.087,False,True,True,True,score_anti_rrf_no_target_c20_a0.75_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.75,0.3,0.4,0.94475,0.68775,-0.00125,0.1945,-0.003,0.167,False,False,True,True,score_anti_rrf_no_target_c20_a0.75_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.75,0.5,0.666667,0.93925,0.5185,-0.00675,0.36375,-0.01,0.315,False,False,True,True,score_anti_rrf_no_target_c20_a0.75_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.75,0.75,1,0.92375,0.23,-0.02225,0.65225,-0.026,0.555,False,False,True,True,score_anti_rrf_no_target_c20_a0.75_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,0.75,1,1.33333,0.88825,0.06275,-0.05775,0.8195,-0.068,0.791,False,False,True,True,score_anti_rrf_no_target_c20_a0.75_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,1,0.1,0.1,0.9465,0.84775,0.0005,0.0345,0,0.026,True,True,True,True,score_anti_rrf_no_target_c20_a1_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,1,0.2,0.2,0.9465,0.809,0.0005,0.07325,-0.001,0.051,False,True,True,True,score_anti_rrf_no_target_c20_a1_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,1,0.3,0.3,0.9455,0.7535,-0.0005,0.12875,-0.002,0.105,False,False,True,True,score_anti_rrf_no_target_c20_a1_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,1,0.5,0.5,0.94325,0.63,-0.00275,0.25225,-0.005,0.23,False,False,True,True,score_anti_rrf_no_target_c20_a1_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,1,0.75,0.75,0.93825,0.4535,-0.00775,0.42875,-0.011,0.383,False,False,True,True,score_anti_rrf_no_target_c20_a1_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,1,1,1,0.92375,0.23,-0.02225,0.65225,-0.026,0.555,False,False,True,True,score_anti_rrf_no_target_c20_a1_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,1.5,0.1,0.0666667,0.9465,0.86025,0.0005,0.022,0,0.013,True,True,True,True,score_anti_rrf_no_target_c20_a1.5_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,1.5,0.2,0.133333,0.94625,0.836,0.00025,0.04625,-0.001,0.035,False,True,True,True,score_anti_rrf_no_target_c20_a1.5_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,1.5,0.3,0.2,0.9465,0.809,0.0005,0.07325,-0.001,0.051,False,True,True,True,score_anti_rrf_no_target_c20_a1.5_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,1.5,0.5,0.333333,0.94475,0.7325,-0.00125,0.14975,-0.003,0.121,False,False,True,True,score_anti_rrf_no_target_c20_a1.5_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,1.5,0.75,0.5,0.94325,0.63,-0.00275,0.25225,-0.005,0.23,False,False,True,True,score_anti_rrf_no_target_c20_a1.5_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,1.5,1,0.666667,0.93925,0.5185,-0.00675,0.36375,-0.01,0.315,False,False,True,True,score_anti_rrf_no_target_c20_a1.5_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,2,0.1,0.05,0.94625,0.865,0.00025,0.01725,0,0.011,True,True,True,True,score_anti_rrf_no_target_c20_a2_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,2,0.2,0.1,0.9465,0.84775,0.0005,0.0345,0,0.026,True,True,True,True,score_anti_rrf_no_target_c20_a2_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,2,0.3,0.15,0.94625,0.83,0.00025,0.05225,-0.001,0.038,False,True,True,True,score_anti_rrf_no_target_c20_a2_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,2,0.5,0.25,0.94625,0.7845,0.00025,0.09775,-0.001,0.076,False,True,True,True,score_anti_rrf_no_target_c20_a2_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,20,alpha,2,0.75,0.375,0.9445,0.70475,-0.0015,0.1775,-0.004,0.144,False,False,True,True,score_anti_rrf_no_target_c20_a2_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
